=> using pre-trained model 'resnet34'
Epoch: [0][0/259]	Time 8.426 (8.426)	Data 1.409 (1.409)	Loss 0.8539 (0.8539)	
Epoch: [0][1/259]	Time 1.407 (4.917)	Data 0.001 (0.705)	Loss 0.5072 (0.6806)	
Epoch: [0][2/259]	Time 1.910 (3.914)	Data 0.002 (0.471)	Loss 0.2539 (0.5384)	
Epoch: [0][3/259]	Time 1.976 (3.430)	Data 0.001 (0.353)	Loss 0.1920 (0.4518)	
Epoch: [0][4/259]	Time 1.921 (3.128)	Data 0.001 (0.283)	Loss 0.2177 (0.4049)	
Epoch: [0][5/259]	Time 1.899 (2.923)	Data 0.001 (0.236)	Loss 0.2142 (0.3731)	
Epoch: [0][6/259]	Time 1.940 (2.783)	Data 0.001 (0.202)	Loss 0.2291 (0.3526)	
Epoch: [0][7/259]	Time 1.891 (2.671)	Data 0.001 (0.177)	Loss 0.2690 (0.3421)	
Epoch: [0][8/259]	Time 1.911 (2.587)	Data 0.001 (0.157)	Loss 0.2826 (0.3355)	
Epoch: [0][9/259]	Time 1.883 (2.516)	Data 0.001 (0.142)	Loss 0.2856 (0.3305)	
Epoch: [0][10/259]	Time 1.931 (2.463)	Data 0.001 (0.129)	Loss 0.2883 (0.3267)	
Epoch: [0][11/259]	Time 1.923 (2.418)	Data 0.001 (0.118)	Loss 0.2479 (0.3201)	
Epoch: [0][12/259]	Time 1.810 (2.372)	Data 0.001 (0.109)	Loss 0.2896 (0.3178)	
Epoch: [0][13/259]	Time 1.909 (2.338)	Data 0.001 (0.101)	Loss 0.2698 (0.3143)	
Epoch: [0][14/259]	Time 1.887 (2.308)	Data 0.001 (0.095)	Loss 0.2332 (0.3089)	
Epoch: [0][15/259]	Time 1.879 (2.282)	Data 0.001 (0.089)	Loss 0.2213 (0.3035)	
Epoch: [0][16/259]	Time 1.922 (2.260)	Data 0.001 (0.084)	Loss 0.2270 (0.2990)	
Epoch: [0][17/259]	Time 1.883 (2.239)	Data 0.000 (0.079)	Loss 0.2457 (0.2960)	
Epoch: [0][18/259]	Time 1.932 (2.223)	Data 0.001 (0.075)	Loss 0.2239 (0.2922)	
Epoch: [0][19/259]	Time 1.871 (2.206)	Data 0.001 (0.071)	Loss 0.2391 (0.2896)	
Epoch: [0][20/259]	Time 1.844 (2.188)	Data 0.001 (0.068)	Loss 0.2124 (0.2859)	
Epoch: [0][21/259]	Time 1.845 (2.173)	Data 0.001 (0.065)	Loss 0.2475 (0.2841)	
Epoch: [0][22/259]	Time 1.918 (2.162)	Data 0.000 (0.062)	Loss 0.1778 (0.2795)	
Epoch: [0][23/259]	Time 1.902 (2.151)	Data 0.001 (0.059)	Loss 0.2048 (0.2764)	
Epoch: [0][24/259]	Time 1.928 (2.142)	Data 0.000 (0.057)	Loss 0.1684 (0.2721)	
Epoch: [0][25/259]	Time 1.859 (2.131)	Data 0.001 (0.055)	Loss 0.1784 (0.2685)	
Epoch: [0][26/259]	Time 1.938 (2.124)	Data 0.000 (0.053)	Loss 0.1900 (0.2656)	
